Mic,light,mQ135,temprature,humidity,situation
466,640,194,23,13,E
231,640,192,23,13,E
219,641,191,23,13,E
601,641,190,23,13,E
578,641,191,23,13,E
223,642,190,23,13,E
256,641,191,23,13,E
248,642,190,23,13,E
578,642,187,23,13,E
605,643,190,23,13,E
580,644,190,23,13,E
592,644,188,23,13,E
593,644,186,23,13,E
251,645,190,23,13,E
303,645,187,23,13,E
443,645,184,23,13,E
256,647,187,23,13,E
354,648,187,23,13,E
592,647,185,23,13,E
312,648,184,23,13,E
258,647,188,23,13,E
462,646,188,23,13,E
601,646,185,23,13,E
233,647,187,23,13,E
602,648,186,23,13,E
565,649,185,23,13,E
257,649,185,23,13,E
579,649,184,23,13,E
230,650,186,23,13,E
202,650,184,23,13,E
560,650,184,23,13,E
563,651,184,23,13,E
599,652,183,23,13,E
563,653,182,23,13,E
268,653,181,23,13,E
584,651,180,23,13,E
592,652,181,23,13,E
489,653,181,23,13,E
242,654,181,23,13,E
232,656,181,23,13,E
510,656,180,23,13,E
580,657,178,23,13,E
580,657,180,23,13,E
566,658,179,23,13,E
591,659,181,23,13,E
241,660,179,23,13,E
375,660,179,23,13,E
585,660,179,23,13,E
430,660,180,23,13,E
551,659,178,23,13,E
202,659,178,23,13,E
685,494,506,23,34,L
324,493,501,23,33,L
852,892,165,24,14,L
853,891,162,24,14,L
852,892,164,24,14,L
849,891,162,24,14,L
851,892,164,24,14,L
851,890,164,24,14,L
852,892,164,24,14,L
850,892,163,24,14,L
849,893,163,24,14,L
851,892,164,24,14,L
851,640,164,24,14,L
851,601,164,24,14,L
852,601,164,24,14,L
852,704,163,24,14,L
850,622,162,24,14,L
850,622,165,24,14,L
851,669,163,24,14,L
850,727,163,24,14,L
852,609,163,24,14,L
852,585,163,24,14,L
851,582,164,24,14,L
852,579,162,24,14,L
852,585,164,24,14,L
852,597,164,24,15,L
852,583,165,24,15,L
851,583,164,24,15,L
851,587,164,24,15,L
851,595,164,24,15,L
853,610,164,23,15,L
851,656,163,24,15,L
852,622,164,23,15,L
851,629,163,23,15,L
849,650,162,23,15,L
850,627,164,23,15,L
851,619,164,23,15,L
851,603,164,23,15,L
852,611,165,23,15,L
852,593,166,23,15,L
851,597,164,23,15,L
849,621,164,23,15,L
851,725,165,23,15,L
851,742,165,23,15,L
850,698,165,23,15,L
851,735,165,23,16,L
851,694,165,23,15,L
851,662,165,23,15,L
850,620,163,23,16,L
852,640,165,23,16,L
852,630,166,23,16,L
851,605,165,23,16,L
851,604,165,23,16,L
851,696,165,23,16,L
852,708,165,23,16,L
852,731,165,23,16,L
852,687,166,23,16,L
852,746,165,23,16,L
850,753,165,23,16,L
851,756,165,23,16,L
852,754,165,23,16,L
851,752,165,23,16,L
852,756,165,23,16,L
852,755,165,23,16,L
852,756,166,23,16,L
852,749,166,23,16,L
852,754,165,23,16,L
851,725,164,23,16,L
852,760,165,23,16,L
851,758,165,23,16,L
850,758,165,23,16,L
851,757,165,23,16,L
851,760,165,23,16,L
851,758,165,23,16,L
850,757,163,23,16,L
851,761,165,23,16,L
851,762,165,23,16,L
852,762,165,23,16,L
852,762,165,23,16,L
852,730,166,23,16,L
852,756,166,23,16,L
851,701,166,23,16,L
852,722,165,23,16,L
851,674,165,23,16,L
851,675,164,23,16,L
852,719,166,23,16,L
852,672,165,23,16,L
851,716,165,23,16,L
850,744,165,23,16,L
852,758,165,23,16,L
850,700,164,23,16,L
851,750,165,23,16,L
850,719,165,23,16,L
850,743,165,23,16,L
851,657,165,23,16,L
852,652,166,23,16,L
851,658,166,23,16,L
851,659,166,23,16,L
852,664,166,23,16,L
853,667,167,23,16,L
850,667,164,23,16,L
850,661,164,23,16,L
850,701,165,23,16,L
852,743,165,23,16,L
851,645,165,23,16,L
852,636,166,23,16,L
851,629,164,23,16,L
851,628,165,23,16,L
851,628,164,23,16,L
850,632,165,23,16,L
852,635,165,23,16,L
851,637,165,23,16,L
852,645,166,23,16,L
852,640,165,23,16,L
851,648,165,23,16,L
850,650,165,23,16,L
852,659,166,23,16,L
851,663,166,23,16,L
852,658,164,23,16,L
850,654,165,23,16,L
851,653,165,23,16,L
852,650,166,23,16,L
852,661,166,23,16,L
852,672,166,23,16,L
850,706,165,23,16,L
852,679,166,23,16,L
852,656,165,23,16,L
851,704,164,23,16,L
852,640,165,23,16,L
850,636,166,23,16,L
852,645,166,23,16,L
851,658,166,23,16,L
850,737,164,23,16,L
851,700,166,23,16,L
852,644,165,23,16,L
850,635,165,23,16,L
850,638,164,23,16,L
852,642,165,23,16,L
850,645,165,23,16,L
851,673,166,23,16,L
850,723,165,23,16,L
851,755,166,23,16,L
852,733,166,23,16,L
852,663,166,23,16,L
851,674,165,23,16,L
851,668,166,23,16,L
850,655,164,23,16,L
851,722,165,23,16,L
852,678,166,23,16,L
852,693,166,23,16,L
851,676,166,23,16,L
851,644,166,23,16,L
851,650,166,23,16,L
850,643,165,23,16,L
851,631,166,23,16,L
851,629,166,23,16,L
851,623,166,23,16,L
851,622,166,23,16,L
850,622,166,23,16,L
851,612,166,23,16,L
850,603,166,23,16,L
851,606,166,23,16,L
851,602,166,23,16,L
851,597,166,23,16,L
852,593,166,23,16,L
852,590,166,23,16,L
851,587,165,23,16,L
851,587,164,23,16,L
852,582,166,23,16,L
852,578,166,23,16,L
852,580,167,23,16,L
851,585,166,23,16,L
851,588,166,23,16,L
852,593,166,23,16,L
852,596,166,23,16,L
850,598,166,23,16,L
852,601,166,23,16,L
851,608,166,23,16,L
851,613,165,23,16,L
851,613,166,23,16,L
850,608,166,23,16,L
851,608,166,23,16,L
851,608,166,23,16,L
850,611,165,23,16,L
850,619,165,23,16,L
851,655,165,23,16,L
850,614,166,22,17,L
851,608,167,22,17,L
851,611,165,22,17,L
851,619,167,22,17,L
851,594,167,22,17,L
851,586,167,22,17,L
850,579,166,22,17,L
851,574,167,22,17,L
849,570,166,22,17,L
851,568,167,22,17,L
851,566,168,22,17,L
849,565,167,22,17,L
850,563,167,22,17,L
850,564,167,22,17,L
851,565,167,22,17,L
851,563,168,22,17,L
851,560,167,22,17,L
851,558,167,22,17,L
851,556,167,22,17,L
852,555,167,22,17,L
851,556,167,22,17,L
851,556,166,22,17,L
850,557,165,22,17,L
851,556,167,22,17,L
850,553,167,22,17,L
851,551,166,22,17,L
852,549,168,22,17,L
851,547,167,22,17,L
850,545,168,22,17,L
852,544,167,22,17,L
851,543,167,22,17,L
851,543,167,22,17,L
851,544,167,22,17,L
851,543,167,22,17,L
851,544,167,22,17,L
850,542,168,22,17,L
851,541,168,22,17,L
852,541,167,22,17,L
850,541,168,22,17,L
850,538,166,22,17,L
851,536,167,22,17,L
851,534,168,22,17,L
850,534,167,22,17,L
850,534,168,22,17,L
852,536,167,22,17,L
851,538,168,22,17,L
851,541,168,22,17,L
851,544,166,22,17,L
849,547,168,22,17,L
851,550,167,22,17,L
851,548,168,22,17,L
851,550,168,22,17,L
851,554,168,22,17,L
851,562,168,22,17,L
850,567,168,22,17,L
850,577,168,22,17,L
851,582,168,22,17,L
851,584,167,22,17,L
851,587,167,22,17,L
850,591,168,22,17,L
850,595,168,22,17,L
851,601,167,22,17,L
851,610,168,22,17,L
851,615,168,22,17,L
850,625,167,22,17,L
850,615,167,22,17,L
850,615,169,22,17,L
850,620,168,22,17,L
851,624,167,22,17,L
850,621,169,22,17,L
850,620,168,22,17,L
849,619,168,22,17,L
849,621,168,22,17,L
851,617,168,22,17,L
850,619,169,23,16,L
849,627,169,22,17,L
847,628,168,23,16,L
849,627,169,23,16,L
850,639,169,23,16,L
850,642,168,23,16,L
850,630,170,23,16,L
849,631,169,23,16,L
850,622,169,22,17,L
852,632,169,22,17,L
